name,Sys_class_name,Class1,Class2,Class3,LOV_Hardwware_Status,HARDWARE_STATUS_FLAG,CNT
5cg9014hsl-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014hth-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014hv9-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9014jpf-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9014jqh-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9014jqm-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9014jv5-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9014k0w-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9014k7s-w10,cmdb_ci_laptop_pc,Installed,NULL,NULL,Installed,Y,1
5cg9015974-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg901597j-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9015989-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90159b6-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90159bl-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90159cr-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90159d9-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90159fp-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90159fy-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90159gf-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg90159hf-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020b6l-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020b9m-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020bd0-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020bls-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020bn7-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020bvz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020bzc-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020c0s-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020cb5-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020cdl-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020cfg-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020cqb-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020cx4-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020fqz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020fsf-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020fsm-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020fv9-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9020fz8-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023dn5-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023fbq-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023fgy-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023fhz-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023fr8-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023fvw-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023g1q-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
5cg9023g69-w10,cmdb_ci_laptop_pc,installed,NULL,NULL,Installed,Y,1
